"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"INDIAN JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY","0970-9134","0973-7723","SPRINGER INDIA","7TH FLOOR, VIJAYA BUILDING, 17, BARAKHAMBA ROAD, NEW DELHI, INDIA, 110 001","English","Cardiac & Cardiovascular System"
"INDIAN JOURNAL OF TRANSPLANTATION","2212-0017","2212-0025","WOLTERS KLUWER MEDKNOW PUBLICATIONS","Wolters Kluwer India Private LTD, Smartworks, Marisoft, Wing -C, Wadgaon Sheri, Kalyani Nagar Annex, Pune, India, Maharashtra, 411014","English","Transplantation"
"INDIAN JOURNAL OF UROLOGY","0970-1591","1998-3824","WOLTERS KLUWER MEDKNOW PUBLICATIONS","Wolters Kluwer India Private LTD, Smartworks, Marisoft, Wing -C, Wadgaon Sheri, Kalyani Nagar Annex, Pune, India, Maharashtra, 411014","English","Urology & Nephrology"
"INDIAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY","0972-0820","2394-0999","WOLTERS KLUWER MEDKNOW PUBLICATIONS","Wolters Kluwer India Private LTD, Smartworks, Marisoft, Wing -C, Wadgaon Sheri, Kalyani Nagar Annex, Pune, India, Maharashtra, 411014","English","Cardiac & Cardiovascular System | Surgery"
"INDIAN PHYTOPATHOLOGY","0367-973X","2248-9800","SPRINGERNATURE","THE CAMPUS, 4 CRINAN ST, LONDON, England, N1 9XW","English","Plant Sciences"
"INDIAN SPINE JOURNAL","2589-5079","2589-5087","WOLTERS KLUWER MEDKNOW PUBLICATIONS","Wolters Kluwer India Private LTD, Smartworks, Marisoft, Wing -C, Wadgaon Sheri, Kalyani Nagar Annex, Pune, India, Maharashtra, 411014","English","Orthopedics"
"INDIA QUARTERLY-A JOURNAL OF INTERNATIONAL AFFAIRS","0974-9284","0975-2684","SAGE PUBLICATIONS INDIA  PVT LTD","B-1-I-1 MOHAN CO-OPERATIVE INDUSTRIAL AREA, MATHURA RD, POST BAG NO 7, NEW DELHI, INDIA, 110 044","English","International Relations"
"IN DIE SKRIFLIG-IN LUCE VERBI","1018-6441","2305-0853","AOSIS","Postnet Suite 110, Private Bag x 19, Durbanville, South Africa, 7550","Multi-Language","Religion"
"INDO-EUROPEAN LINGUISTICS","2212-5884","2212-5892","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, Netherlands, 2300 PA","English","Linguistics | Language & Linguistics"
"INDONESIA LAW REVIEW","2088-8430","2356-2129","INDONESIAN LAW REVIEW","Faculty of Law, Universitas Indonesia, Depok Campus, Room F-301, Building F, West Java, Indonesia, 16424","English","Law"
"INDONESIAN BIOMEDICAL JOURNAL","2355-9179","2355-9179","PRODIA EDUCATION & RESEARCH INST","PRODIA TOWER 8TH FLR, JL KRAMAT RAYA NO 150, JAKARTA, INDONESIA, 00000","English","Medicine, Research & Experimental"
"INDONESIAN CAPITAL MARKET REVIEW","1979-8997","2356-3818","UNIV INDONESIA","DIRECTORATE RESEARCH & PUBLIC SERV, UI CAMPUS, KAMOUS UNIV INDONESIA, DEPOK, INDONESIA, 16424","English","Economics"
"INDONESIAN JOURNAL OF CHEMISTRY","1411-9420","1411-9420","GADJAH MADA UNIV, DEPT CHEMISTRY","JALAN PANCASILA, YOGYAKARTA, INDONESIA, 55281","English","Chemistry, Multidisciplinary"
"INDONESIAN JOURNAL OF FORESTRY RESEARCH","2355-7079","2406-8195","MINISTRY ENVIRONMENT & FORESTRY","JL GUNUNG BATU 05, BOGOR, WEST JAVA, INDONESIA, 16610","English","Forestry"
"INDONESIAN JOURNAL OF GEOSCIENCE","2355-9314","2355-9306","GEOLOGICAL AGENCY","JL DIPONEGORO NO 57, BANDUNG, INDONESIA, 00000","Multi-Language","Geosciences, Multidisciplinary"
"INDONESIAN JOURNAL OF ISLAM AND MUSLIM SOCIETIES","2089-1490","2406-825X","INST AGAMA ISLAM NEGERI-IAIN SALATIGA","JL TENTARA PELAJAR NO 2, SALATIGA, JAWA TENGAH, INDONESIA, 50721","English","Religion"
"INDONESIAN JOURNAL OF PHARMACY","2338-9486","2338-9427","UNIV GADJAH MADA, FAC FARMASI","N SEKIP, YOGYAKARTA, INDONESIA, 55281","Indonesian","Pharmacology & Pharmacy"
"INDONESIAN JOURNAL OF SUSTAINABILITY ACCOUNTING AND MANAGEMENT","2597-6214","2597-6222","UNIV PASUNDAN","JL DR SETIABUDI NO 193, GEGERKALONG, KEC SUKASARI, KOTA, BANDUNG, INDONESIA, JAWA BARAT, 40153","English","Business, Finance | Management"
"INDUSTRIAL AND COMMERCIAL TRAINING","0019-7858","1758-5767","EMERALD GROUP PUBLISHING LTD","Floor 5, Northspring 21-23 Wellington Street, Leeds, England, W YORKSHIRE, LS1 4DL","English","Management"
"INDUSTRIAL BIOTECHNOLOGY","1550-9087","1931-8421","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Biotechnology & Applied Microbiology"
"INDUSTRIAL CHEMISTRY & MATERIALS","2755-2608","2755-2500","ROYAL SOC CHEMISTRY","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF","English","Engineering, Chemical | Materials Science, Multidisciplinary"
"INDUSTRIAL ENGINEERING AND MANAGEMENT SYSTEMS","1598-7248","2234-6473","KOREAN INST INDUSTRIAL ENGINEERS","VICTORIA BLDG RM 509, 705-1 YEOKSAM-DONG, KANGNAM-GU, SEOUL, SOUTH KOREA, 135-080","English","Engineering, Industrial"
"INDUSTRIAL RELATIONS JOURNAL","0019-8692","1468-2338","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Industrial Relations & Labor"
"INDUSTRY AND HIGHER EDUCATION","0950-4222","2043-6858","SAGE PUBLICATIONS LTD","105 Bunhill Row, LONDON, England, EC1Y 8LZ","English","Education & Educational Research"
"IN EDUCATION","1927-6117","1927-6117","UNIV REGINA, FAC EDUCATION","3737 WASCANA PKWY, REGINA, CANADA, SK, S4S 0A2","English","Education & Educational Research"
"INFANCIAS IMAGENES","1657-9089","2665-511X","UNIV DISTRITAL FRANCISCO JOSE CALDAS","FAC CIENCIAS & EDUC, SEDE POSGRADOS, AV CIUDAD QUITO N 64-81, BOGOTA, Colombia, CUNDINAMARCA, 00000","Spanish","Family Studies"
"INFECTIO","0123-9392","2422-3794","COLOMBIAN ASSOC INFECTOLOGY","Cra 15 N 118-03 office 503, Bogota, Colombia, 0000","Multi-Language","Infectious Diseases"
"INFECTION AND CHEMOTHERAPY","2093-2340","2092-6448","KOREAN SOC ANTIMICROBIAL THERAPY","806, SEOCHO TOWN TRAPALACE, 23 SEOCHO-DAERO 74-GIL, SEOCHO-GU, SEOUL, SOUTH KOREA, 06621","English","Infectious Diseases"
"INFECTION DISEASE & HEALTH","2468-0451","2468-0451","ELSEVIER INC","525 B STREET, STE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Public, Environmental & Occupational Health"
"INFECTION PREVENTION IN PRACTICE","2590-0889","2590-0889","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Public, Environmental & Occupational Health | Infectious Diseases"
"INFECTIOUS DISEASE MODELLING","2468-2152","2468-0427","KEAI PUBLISHING LTD","16 DONGHUANGCHENGGEN NORTH ST, Building 5, Room 411, BEIJING, Peoples R China, DONGCHENG DISTRICT, 100009","English","Mathematical & Computational Biology | Infectious Diseases"
"INFECTIOUS DISEASE REPORTS","","2036-7449","MDPI","MDPI AG, Grosspeteranlage 5, BASEL, Switzerland, CH-4052","English","Infectious Diseases"
"INFECTIOUS DISEASES AND CLINICAL MICROBIOLOGY","2667-646X","2667-646X","DOC DESIGN & INFORMATICS CO LTD","Yali Mah Rihtim Cad Tevetoglu Apt No 7 D 6, ISTANBUL, Turkiye, 34844","English","Infectious Diseases | Microbiology"
"INFECTIOUS DISEASES & IMMUNITY","2096-9511","2693-8839","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Infectious Diseases"
"INFECTIOUS DISEASES IN CLINICAL PRACTICE","1056-9103","1536-9943","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Infectious Diseases"
"INFECTIOUS MEDICINE","2097-0684","2772-431X","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Infectious Diseases"
"INFECTIOUS MICROBES & DISEASES","","2641-5917","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Infectious Diseases | Microbiology"
"INFEKTSIYA I IMMUNITET","2220-7619","2313-7398","SANKT-PETERSBURG-NIIEM IMENI PASTERA","UL MIRA, 14, ST PETERSBURG, RUSSIA, 197101","Russian","Infectious Diseases"
"INFOCOMMUNICATIONS JOURNAL","2061-2079","2061-2125","SCIENTIFIC ASSOC INFOCOMMUNICATIONS","KOSSUTH LAJOS SQUARE 6-8, BUDAPEST, HUNGARY, 1055","English","Telecommunications"
"INFORMATICS-BASEL","","2227-9709","MDPI","MDPI AG, Grosspeteranlage 5, BASEL, Switzerland, CH-4052","English","Computer Science, Interdisciplinary Applications"
"INFORMATICS IN EDUCATION","1648-5831","2335-8971","VILNIUS UNIV PRESS","9 SAULETEKIO AV, VILNIUS, Lithuania, LT-10222","English","Education & Educational Research"
"INFORMATION","","2078-2489","MDPI","MDPI AG, Grosspeteranlage 5, BASEL, Switzerland, CH-4052","","Computer Science, Information Systems"
"INFORMATION AND COMMUNICATION TECHNOLOGY IN MUSICAL FIELD","2067-9408","2069-654X","MEDIA MUSICA","STR ICBRATIANU NR 25, CLUJ-NAPOCA, ROMANIA, 00000","Multi-Language","Music"
"INFORMATION AND COMPUTER SECURITY","2056-4961","2056-4961","EMERALD GROUP PUBLISHING LTD","Floor 5, Northspring 21-23 Wellington Street, Leeds, England, W YORKSHIRE, LS1 4DL","English","Computer Science, Information Systems"
"INFORMATION AND LEARNING SCIENCES","2398-5348","2398-5356","EMERALD GROUP PUBLISHING LTD","Floor 5, Northspring 21-23 Wellington Street, Leeds, England, W YORKSHIRE, LS1 4DL","English","Information Science & Library Science"
"INFORMATION & COMMUNICATIONS TECHNOLOGY LAW","1360-0834","1469-8404","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Law"
"INFORMATION DISCOVERY AND DELIVERY","2398-6247","2398-6255","EMERALD GROUP PUBLISHING LTD","Floor 5, Northspring 21-23 Wellington Street, Leeds, England, W YORKSHIRE, LS1 4DL","English","Information Science & Library Science"
"INFORMATIONEN AUS ORTHODONTIE UND KIEFERORTHOPAEDIE","0020-0336","1439-4200","GEORG THIEME VERLAG KG","Oswald-Hesse-Strasse 50, STUTTGART, Germany, D-70469","Multi-Language","Dentistry, Oral Surgery & Medicine"
"INFORMATION GEOGRAPHIQUE","0020-0093","1777-5876","ARMAND COLIN","5 RUE LAROMIGUIERE, PARIS CEDEX 05, FRANCE, 75240","Multi-Language","Geography"
"INFORMATION GEOMETRY","2511-2481","2511-249X","SPRINGERNATURE","THE CAMPUS, 4 CRINAN ST, LONDON, England, N1 9XW","English","Mathematics | Statistics & Probability"
"INFORMATION POLITY","1570-1255","1875-8754","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Information Science & Library Science"
"INFORMATION RESOURCES MANAGEMENT JOURNAL","1040-1628","1533-7979","IGI GLOBAL","701 E CHOCOLATE AVE, STE 200, HERSHEY, USA, PA, 17033-1240","English","Information Science & Library Science"
"INFORMATION SECURITY JOURNAL","1939-3555","1939-3547","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Computer Science, Information Systems"
"INFORMATION TECHNOLOGIES AND LEARNING TOOLS","2076-8184","2076-8184","NATL ACAD EDUCATIONAL SCIENCES UKRAINE, INST DIGITALISATION EDUCATION","VUL M BERLYNSKOHO 9, KYIV, UKRAINE, 04060","Multi-Language","Education & Educational Research"
"INFORMATION-WISSENSCHAFT UND PRAXIS","1434-4653","1619-4292","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","Multi-Language","Computer Science, Information Systems"
"INFORMES CIENTIFICOS Y TECNICOS","1852-4516","1852-4516","UNIV NAC PATAGONIA AUSTRAL","RIVADAVIA 265, RIO GALLEGOS, SANTA CRUZ, ARGENTINA, 9400","Spanish","Multidisciplinary Sciences"
"INFRASTRUCTURE ASSET MANAGEMENT","2053-0242","2053-0250","EMERALD GROUP PUBLISHING LTD","Floor 5, Northspring 21-23 Wellington Street, Leeds, England, W YORKSHIRE, LS1 4DL","English","Management"
"INFRASTRUCTURES","","2412-3811","MDPI","MDPI AG, Grosspeteranlage 5, BASEL, Switzerland, CH-4052","English","Construction & Building Technology | Engineering, Civil | Transportation Science & Technology"
"INGE CUC","0122-6517","2382-4700","UNIV COSTA","Calle 55 N 58-66, BARRANQUILLA, Colombia, 00000","Multi-Language","Engineering, Multidisciplinary"
"INGENIERIA","0121-750X","2344-8393","UNIV DISTRITAL FRANCISCO JOSE DE CALDAS, CENTRO INVEST & DESARROLLO CIENT","CARRERA 7 NO 40-53, BOGOTA, COLOMBIA, 00000","Spanish","Engineering, Multidisciplinary"
"INGENIERIA DEL AGUA","1134-2196","1886-4996","UNIV POLITECNICA VALENCIA, EDITORIAL UPV","CAMINO VERA S-N, VALENCIA, SPAIN, 46022","Multi-Language","Engineering, Civil"
"INGENIERIA SOLIDARIA","1900-3102","2357-6014","UNIV COOPERATIVE COLOMBIA, FAC ENGINEERING","AV CARCAS NO 37-15, BOGOTA, COLOMBIA, 00000","Multi-Language","Engineering, Multidisciplinary"
"INGENIERIA UC","1316-6832","2610-8240","UNIV CARABOBO","FAC CIENCIAS SALUD, CARABOBO, VENEZUELA, 00000","Spanish","Engineering, Multidisciplinary"
"INGENIERIA Y COMPETITIVIDAD","0123-3033","0123-3033","UNIV VALLE, FAC INGENIERIA","CIUDAD UNIV MELENDEX, CALLE 13 NO 100-00, CALI, COLOMBIA, 25360","Spanish","Engineering, Multidisciplinary"
"INGENIUM-REVISTA ELECTRONICA DE PENSAMIENTO MODERNO Y METODOLOGIA EN HISTORIA DE LA IDEAS","1989-3663","1989-3663","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, SPAIN, 28040","Multi-Language","Philosophy"
"INGENIUS-REVISTA DE CIENCIA Y TECNOLOGIA","1390-650X","1390-860X","UNIV POLITECNICA SALESIANA ECUADOR-SALESIAN POLYTECNIC UNIV","CALLE TURUHUAYO 3-69 & CALLE VIEJA, CUENCA, ECUADOR, 00000","Spanish","Engineering, Multidisciplinary"
"INGINERIA AUTOMOBILULUI","1842-4074","1842-4074","SOC AUTOMOTIVE ENGINEERS ROMANIA","SOC AUTOMOTIVE ENGINEERS ROMANIA, BUCURESTI, ROMANIA, 00000","English","Engineering, Mechanical"
"INMATEH-AGRICULTURAL ENGINEERING","2068-4215","2068-2239","INST NATL CERCETARE","B-DUL ION IONESCU BRAD NR 16, SECTOR 1, BUCHAREST, ROMANIA, 013813","English","Agricultural Engineering"
"INMEDIACIONES DE LA COMUNICACION","1510-5091","1688-8626","UNIV ORT URUGUAY (CAMPUS CENTER)","Cuareim 1451, Montevideo, Uruguay, 00000","Spanish","Communication"
"INNER ASIA","1464-8172","2210-5018","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, Netherlands, 2300 PA","English","Area Studies"
"INNES REVIEW","0020-157X","1745-5219","EDINBURGH UNIV PRESS","THE TUN-HOLYROOD RD, 12 2F JACKSONS ENTRY, EDINBURGH, SCOTLAND, EH8 8PJ","English","Religion"
"INNOEDUCA-INTERNATIONAL JOURNAL OF TECHNOLOGY AND EDUCATIONAL INNOVATION","","2444-2925","UNIV MALAGA","AVE CERVANTES 2, MALAGA, SPAIN, 29071","Multi-Language","Education & Educational Research"
"INNOVACION EDUCATIVA","1130-8656","2340-0056","UNIV SANTIAGO COMPOSTELA","SERVICIO DE PUBLICACIONES E INTERCAMBIO CIENTIFICO, CAMPUS UNIV SUR, SANTIAGO DE COMPOSTELA, SPAIN, 15782","Spanish","Education & Educational Research"
"INNOVACION EDUCATIVA-MEXICO","1665-2673","2594-0392","INST POLITECNICO NACIONAL-IPN","AV LUIS ENRIQUE ERRO S-N, UNIDAD PROF ADOLFO LOPEZ MATEOS, ZACATENCO, DELEGACION GUSTAVO A, MEXICO, MEXICO, DISTRITO FEDERAL, CP 07738","Spanish","Education & Educational Research"
"INNOVATION","2666-6758","2666-6758","CELL PRESS","50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, USA, MA, 02139","English","Multidisciplinary Sciences"
"INNOVATION AND DEVELOPMENT","2157-930X","2157-9318","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Development Studies | Economics"
"INNOVATION AND EMERGING TECHNOLOGIES","2737-5994","2810-9007","WORLD SCIENTIFIC PUBL CO PTE LTD","5 TOH TUCK LINK, SINGAPORE, Singapore, 596224","English","Engineering, Multidisciplinary"
"INNOVATION & MANAGEMENT REVIEW","2515-8961","2515-8961","EMERALD GROUP PUBLISHING LTD","Floor 5, Northspring 21-23 Wellington Street, Leeds, England, W YORKSHIRE, LS1 4DL","English","Management"
"INNOVATIONS IN ACUPUNCTURE AND MEDICINE","","3059-4049","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Integrative & Complementary Medicine"
"INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING","1614-5046","1614-5054","SPRINGER LONDON LTD","236 GRAYS INN RD, 6TH FLOOR, LONDON, ENGLAND, WC1X 8HL","English","Computer Science, Software Engineering"
"INNOVATIONS-TECHNOLOGY AND TECHNIQUES IN CARDIOTHORACIC AND VASCULAR SURGERY","1556-9845","1559-0879","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Surgery"
"INNOVATIVE HIGHER EDUCATION","0742-5627","1573-1758","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Education & Educational Research"
"INNOVATIVE INFRASTRUCTURE SOLUTIONS","2364-4176","2364-4184","SPRINGER INT PUBL AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Engineering, Civil"
"INNOVATIVE MARKETING","1814-2427","1816-6326","LLC CPC BUSINESS PERSPECTIVES","HRYHORII SKOVORODA LN, 10, SUMY, UKRAINE, 40022","English","Business"
"INNOVATIVE SURGICAL SCIENCES","2364-7485","2364-7485","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","English","Surgery"
"INORGANIC MATERIALS-APPLIED RESEARCH","2075-1133","2075-115X","SPRINGERNATURE","THE CAMPUS, 4 CRINAN ST, LONDON, England, N1 9XW","English","Materials Science, Multidisciplinary"
"INQUIETUD EMPRESARIAL","0121-1048","2422-3220","UNIV PEDAGOGICA & TECNOLOGICA COLOMBIA","AVE CENTRAL NORTE, KM 3 VIA PAIPA, TUNJA, COLOMBIA, BOYACA, 00000","Spanish","Business"
"INSAN & TOPLUM-THE JOURNAL OF HUMANITY & SOCIETY","2146-7099","2602-2745","ILEM","ILMI ETUDLER DERNEGI, AZIZ MAHMUT HUDAYI MAH, TURBEKAPI SOK NO 13, ISTANBUL, Turkiye, 34672","Turkish","Social Sciences, Interdisciplinary"
"INSIGHT ON AFRICA","0975-0878","0976-3465","SAGE PUBLICATIONS LTD","105 Bunhill Row, LONDON, England, EC1Y 8LZ","English","Area Studies"
"INSIGHTS-THE UKSG JOURNAL","2048-7754","2048-7754","UBIQUITY PRESS LTD","Unit 3N, 6 Osborn Street, LONDON, England, E1 6TD","English","Information Science & Library Science"
"INSIGHT TURKEY","1302-177X","1302-177X","SETA FOUNDATION","Nene Hatun Street, No: 66 GOP, ANKARA, Turkiye, 06700","English","Political Science"
"IN SILICO PLANTS","","2517-5025","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Agronomy | Plant Sciences | Mathematical & Computational Biology"
"IN SITU-REVUE DE PATRIMOINES","1630-7305","1630-7305","MINISTERE CULTURE & COMMUNICATION","3 RUE DE VALOIS, PARIS, FRANCE, 75033","French","Humanities, Multidisciplinary"
"INSOLVENCY LAW JOURNAL","1039-3293","1039-3293","LAWBOOK CO LTD","LEVEL 6, 19 HARRIS ST, PYRMONT, AUSTRALIA, NSW, 2009","English","Law"
"INSTITUTIONES ADMINISTRATIONIS","","2786-1929","UNIVERSITAS-GYOR NONPROFIT KFT","Egyetem Ter 1, Gyor, Hungary, H-9026","English","Public Administration"
"INSTRUMENTS","","2410-390X","MDPI","MDPI AG, Grosspeteranlage 5, BASEL, Switzerland, CH-4052","","Instruments & Instrumentation | Physics, Applied"
"INSUFICIENCIA CARDIACA","1850-1044","1852-3862","REVISTA INSUFICIENCIA CARDIACA","DOMINGO F SARMIENTO 3555, PISO 1O D, BUENOS AIRES, ARGENTINA, 1196","Spanish","Cardiac & Cardiovascular System"
"INTANGIBLE CAPITAL","2014-3214","1697-9818","OMNIASCIENCE","TERRASSA, BARCELONA, SPAIN, 00000","Multi-Language","Management"
"INTEGRATED PHARMACY RESEARCH AND PRACTICE","2230-5254","2230-5254","DOVE MEDICAL PRESS LTD","PO BOX 300-008, ALBANY, New Zealand, AUCKLAND, 0752","English","Pharmacology & Pharmacy"
"INTEGRATIVE CONSERVATION","2770-9329","2770-9329","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Biodiversity Conservation"
"INTEGRATIVE MEDICINE IN NEPHROLOGY AND ANDROLOGY","2773-0395","2773-0387","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Integrative & Complementary Medicine | Urology & Nephrology"
"INTEGRATIVE MEDICINE REPORTS","","2768-3222","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","","Integrative & Complementary Medicine"
"INTELIGENCIA ARTIFICIAL-IBEROAMERICAN JOURNAL OF ARTIFICIAL INTELLIGENCE","1137-3601","1988-3064","ASOC ESPANOLA INTELIGENCIA ARTIFICIAL","FAC INFORMATICA, UNIV POLITECNICA VALENCIA , VALENCIA, Spain, 00000","Multi-Language","Computer Science, Artificial Intelligence"
"INTELLECTUAL DISCOURSE","0128-4878","2289-5639","INT ISLAMIC UNIV MALAYSIA, PRESS RESEARCH MANAGEMENT CENTER","PO BOX 10, KUALA LUMPUR, MALAYSIA, 50728","English","Religion"
"INTELLECTUAL HISTORY REVIEW","1749-6977","1749-6985","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","History | History & Philosophy Of Science | Philosophy"
"INTELLIGENCE & ROBOTICS","","2770-3541","OAE PUBLISHING INC","245 E MAIN ST, ST122, ALHAMBRA, USA, CA, 91801","","Automation & Control Systems | Computer Science, Artificial Intelligence"
"INTELLIGENT BUILDINGS INTERNATIONAL","1750-8975","1756-6932","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Construction & Building Technology"
"INTELLIGENT COMPUTING","","2771-5892","AMER ASSOC ADVANCEMENT SCIENCE","1200 NEW YORK AVE, NW, WASHINGTON, USA, DC, 20005","","Computer Science, Interdisciplinary Applications | Computer Science, Theory & Methods | Computer Science, Artificial Intelligence"
"INTELLIGENT DECISION TECHNOLOGIES-NETHERLANDS","1872-4981","1875-8843","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Computer Science, Artificial Intelligence"
"INTELLIGENT MEDICINE","2667-1026","2667-1026","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Computer Science, Interdisciplinary Applications | Medical Informatics"
"INTELLIGENT SYSTEMS IN ACCOUNTING FINANCE & MANAGEMENT","1550-1949","2160-0074","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Business, Finance"
"INTELLIGENT SYSTEMS WITH APPLICATIONS","","2667-3053","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","","Computer Science, Interdisciplinary Applications | Computer Science, Artificial Intelligence | Computer Science, Information Systems"
"INTELLIGENT TRANSPORTATION INFRASTRUCTURE","","2752-9991","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","","Engineering, Civil | Transportation Science & Technology"
"INTELLIGENZA ARTIFICIALE","1724-8035","2211-0097","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","Multi-Language","Computer Science, Artificial Intelligence"
"INTENSIVE CARE MEDICINE EXPERIMENTAL","2197-425X","2197-425X","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Critical Care Medicine"
"INTENSIVIST","","2950-1873","NETHERLANDS SOC INTENSIVE CARE","HORAPARK 9, EDE, NETHERLANDS, 6717 LZ","English","Critical Care Medicine"
"INTERACCION Y PERSPECTIVA","2244-808X","2244-808X","UNIV ZULIA, FAC CIENCIAS JURIDICAS & POLITICAS","AV 4 BELLAVISTA CON CALLE 74, EDIF FUNDALUZ, PISOS 10 & 4, MARACAIBO, VENEZUELA, 4002","Spanish","Social Work"
"INTERACTION DESIGN AND ARCHITECTURES","1826-9745","2283-2998","INTERACTION DESIGN & ARCHITECTURES","INTERACTION DESIGN & ARCHITECTURES, ROMA, ITALY, 00000","Multi-Language","Education & Educational Research"
"INTERACTIVE JOURNAL OF MEDICAL RESEARCH","1929-073X","1929-073X","JMIR PUBLICATIONS, INC","130 QUEENS QUAY East, Unit 1100, TORONTO, Canada, ON, M5A 0P6","English","Medicine, Research & Experimental"
"INTERACTIVE TECHNOLOGY AND SMART EDUCATION","1741-5659","1758-8510","EMERALD GROUP PUBLISHING LTD","Floor 5, Northspring 21-23 Wellington Street, Leeds, England, W YORKSHIRE, LS1 4DL","English","Education & Educational Research"
"INTERCAMBIOS-DILEMAS Y TRANSICIONES DE LA EDUCACION SUPERIOR","2301-0118","2301-0126","UNIV REPUBLICA, COMISION SECTORIAL ENSENANZA","JOSE ENRIQUE RODO 1854, MONTEVIDEO, URUGUAY, 00000","Spanish","Education & Educational Research"
"INTERCULTURAL EDUCATION","1467-5986","1469-8439","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Education & Educational Research"
"INTERDISCIPLINARIA","1668-7027","1668-7027","CENTRO INTERAMERICANO INVESTIGACIONES PSICOLOGICAS Y CIENCIAS AFINES-CIIPCA","TTE GRAL J D PERON 2158, BUENOS AIRES, ARGENTINA, 00000","Multi-Language","Psychology, Multidisciplinary"
"INTERDISCIPLINARIA ARCHAEOLOGICA-NATURAL SCIENCES IN ARCHAEOLOGY","1804-848X","2336-1220","UNIV HRADEC KRALOVE","PHILOSOPHICAL FAC, DEPT POLITICS, ROKITANSKEHO 62, HRADEC KRALOVE, Czech Republic, 500 03","English","Anthropology | Archaeology | Geosciences, Multidisciplinary | History"
